algorithm,primal_lb,gap_pct,instance,status,time_elapsed,rnd_seed,num_items,num_classes,optimal
compact,1001684.0,0.0,wwsdwc_1200_20,feasible,0.1713109016418457,wwsdwc,1200,20,True
mckp,1001283.0,0.0,wxbhxi_400_20,feasible,71.67047738,wxbhxi,400,20,True
mckp,1012333.0,0.0,uhulky_400_100,feasible,65.894084083,uhulky,400,100,True
compact,974555.0,0.0,urbfiw_1000_20,feasible,1.3468050956726074,urbfiw,1000,20,True
mckp,999526.0,0.0,jrpwcf_1200_20,feasible,47.053830431,jrpwcf,1200,20,True
mckp,1011441.0,0.0,ilabym_1000_100,feasible,222.104896587,ilabym,1000,100,True
compact,501644.0,0.0,egcuct_400_20,feasible,0.0134670734405517,egcuct,400,20,True
mckp,1005732.0,0.0,yzehni_400_100,feasible,112.383215766,yzehni,400,100,True
mckp,1016387.0,0.0,nldttp_1000_100,feasible,252.138881454,nldttp,1000,100,True
mckp,1002873.0,0.0,tsannf_600_20,feasible,82.13376791,tsannf,600,20,True
compact,974692.0,0.0,cuzltb_1000_20,feasible,0.8837859630584717,cuzltb,1000,20,True
mckp,505136.0,0.0,vvxnwl_1000_20,feasible,43.432746515000005,vvxnwl,1000,20,True
mckp,988391.0,0.0,qabhng_800_100,feasible,288.299794099,qabhng,800,100,True
compact,506594.0,0.0,ytntyj_800_20,feasible,0.0365800857543945,ytntyj,800,20,True
mckp,1000099.0,0.0,mzidoy_400_20,feasible,74.145491063,mzidoy,400,20,True
compact,1003702.0,9.992337563430884e-05,vslfiq_400_20,feasible,51.102618932724,vslfiq,400,20,True
compact,1001806.0,9.981962593593376e-05,hphlqj_400_20,feasible,34.358717918396,hphlqj,400,20,True
mckp,1001620.0,0.0,sayrtl_1000_20,feasible,60.084197716,sayrtl,1000,20,True
mckp,506218.0,0.0,symeje_600_20,feasible,72.638340319,symeje,600,20,True
compact,1004752.0,9.952694841418736e-05,odotzz_800_100,feasible,0.0736839771270752,odotzz,800,100,True
compact,1003346.0,0.0426930184297798,nfvvrk_1200_20,feasible,3600.0008478164677,nfvvrk,1200,20,False
compact,513763.0,0.0,nhfszv_800_20,feasible,0.0262789726257324,nhfszv,800,20,True
